id1,id2,statename,smallcode,id3,id4
88503,79936,EL PASO,TX,31.84,-106.43
84106,60629,CHICAGO,IL,41.83,-87.68
78458,90650,NORWALK,CA,33.9,-118.07
75771,11373,ELMHURST,NY,40.72,-73.87
75737,11385,RIDGEWOOD,NY,40.7,-73.89
74527,11226,BROOKLYN,NY,40.64,-73.94
73470,11220,BROOKLYN,NY,40.64,-73.94
72890,77084,HOUSTON,TX,29.76,-95.38
72872,91331,PACOIMA,CA,34.25,-118.41
71345,11236,BROOKLYN,NY,40.64,-73.94
70855,77449,KATY,TX,29.79,-95.82
70715,92683,WESTMINSTER,CA,33.74,-117.99
70604,10002,NEW YORK,NY,40.71,-73.99
70353,76248,KELLER,TX,32.93,-97.22
70212,90280,SOUTH GATE,CA,33.94,-118.2
70190,10025,NEW YORK,NY,40.71,-73.99
69391,60618,CHICAGO,IL,41.83,-87.68
68943,75052,GRAND PRAIRIE,TX,32.69,-97.01
68561,10314,STATEN ISLAND,NY,40.58,-74.14
68109,90250,HAWTHORNE,CA,33.91,-118.34
67736,92154,SAN DIEGO,CA,32.56,-117.01
67717,11368,CORONA,NY,40.74,-73.85
67548,11355,FLUSHING,NY,40.77,-73.84
67468,90201,BELL GARDENS,CA,33.97,-118.15
67361,92704,SANTA ANA,CA,33.71,-117.9
67156,11234,BROOKLYN,NY,40.64,-73.94
66861,91911,CHULA VISTA,CA,32.61,-117.03
66668,78521,BROWNSVILLE,TX,25.92,-97.48
66238,91342,SYLMAR,CA,34.32,-118.38
66214,11377,WOODSIDE,NY,40.74,-73.9
66178,92336,FONTANA,CA,34.14,-117.45
66158,90805,LONG BEACH,CA,33.86,-118.18
65832,60639,CHICAGO,IL,41.83,-87.68
65832,92335,FONTANA,CA,34.08,-117.46
65751,11208,BROOKLYN,NY,40.64,-73.94
65653,93033,OXNARD,CA,34.14,-119.1
64941,94112,SAN FRANCISCO,CA,37.72,-122.44
64907,10467,BRONX,NY,40.84,-73.87
63934,30044,LAWRENCEVILLE,GA,33.94,-83.99
63860,60632,CHICAGO,IL,41.83,-87.68
63437,95076,WATSONVILLE,CA,36.95,-121.72
63301,91744,LA PUENTE,CA,34.02,-117.93
63211,60634,CHICAGO,IL,41.83,-87.68
63123,90011,LOS ANGELES,CA,34,-118.25
63056,63376,SAINT PETERS,MO,38.77,-90.6
62987,91709,CHINO HILLS,CA,33.94,-117.72
62973,11214,BROOKLYN,NY,40.64,-73.94
62570,60647,CHICAGO,IL,41.83,-87.68
62375,77479,SUGAR LAND,TX,29.61,-95.61
62321,23464,VIRGINIA BEACH,VA,36.73,-76.04
62107,75070,MCKINNEY,TX,33.2,-96.65
62025,66062,OLATHE,KS,38.88,-94.81
61968,94565,PITTSBURG,CA,38,-121.83
61947,30043,LAWRENCEVILLE,GA,33.94,-83.99
61529,60617,CHICAGO,IL,41.83,-87.68
61315,92804,ANAHEIM,CA,33.81,-117.97
61265,11207,BROOKLYN,NY,40.64,-73.94
61219,92503,RIVERSIDE,CA,33.89,-117.44
60383,91910,CHULA VISTA,CA,32.63,-117.05
60366,96797,WAIPAHU,HI,21.39,-158.01
60216,22193,WOODBRIDGE,VA,38.63,-77.26
59704,77379,SPRING,TX,30.06,-95.38
59551,93065,SIMI VALLEY,CA,34.25,-118.78
59521,60804,CICERO,IL,41.84,-87.75
59428,37013,ANTIOCH,TN,36.04,-86.64
59131,11235,BROOKLYN,NY,40.64,-73.94
58926,30339,ATLANTA,GA,33.86,-84.47
58851,11229,BROOKLYN,NY,40.64,-73.94
58750,10456,BRONX,NY,40.84,-73.87
58330,77450,KATY,TX,29.79,-95.82
58295,77429,CYPRESS,TX,29.96,-95.69
58177,79912,EL PASO,TX,31.84,-106.43
57854,10462,BRONX,NY,40.84,-73.87
57845,92126,SAN DIEGO,CA,32.88,-117.13
57725,60623,CHICAGO,IL,41.83,-87.68
57691,10453,BRONX,NY,40.84,-73.87
57507,91706,BALDWIN PARK,CA,34.09,-117.96
57386,11211,BROOKLYN,NY,40.64,-73.94
57331,77573,LEAGUE CITY,TX,29.48,-95.1
57184,94587,UNION CITY,CA,37.59,-122.06
57055,75217,DALLAS,TX,32.79,-96.76
57047,80013,AURORA,CO,39.69,-104.81
56971,11746,HUNTINGTON STATION,NY,40.84,-73.4
56806,11212,BROOKLYN,NY,40.64,-73.94
56797,75034,FRISCO,TX,33.14,-96.81
56729,60625,CHICAGO,IL,41.83,-87.68
56627,11219,BROOKLYN,NY,40.64,-73.94
56528,21234,PARKVILLE,MD,39.38,-76.55
56462,90044,LOS ANGELES,CA,33.95,-118.29
56454,11230,BROOKLYN,NY,40.64,-73.94
56345,11375,FOREST HILLS,NY,40.72,-73.84
56277,10452,BRONX,NY,40.84,-73.87
56207,60641,CHICAGO,IL,41.83,-87.68
56159,28269,CHARLOTTE,NC,35.19,-80.83
56083,91710,CHINO,CA,33.98,-117.65
56079,77095,HOUSTON,TX,29.76,-95.38
55977,33012,HIALEAH,FL,25.86,-80.29
